"","id","title","description","manufacturer","price","dfB.match[, names.dfB]","gamma.1","gamma.2","posterior"
"369","b000exq2cs","jumpstart advanced 3rd grade v2.0","jumpstart advanced 3rd grade has more fun and enriching learning activities to prepare children for 3rd grade. these premium features and extensive content is designed to teach children at a pace that's just right for them. the fun games and exercises keep kids engaged and learning for hours. the software adapts to individual children's learning styles helping them learn more about everything from spelling and arithmetic. subjects include: thinking skills - problem solving & critical thinking","knowledge adventure",19.99,"knowledge adventure 20033 jumpstart reading with karaoke",2,2,0.93702585194575
"395","b000exw510","jumpstart advanced 2nd grade v2.0","the jumpstart advanced 2nd grade helps children build and practice essential skills and get a head start on 3rd grade. with adjustable pacing and the ability to select activities that correspond to their learning style preferences students can create a personalized learning experience. subjects include: art - art styles art vocabulary music - music styles & music notation thinking skills - logical thinking & problem solving","knowledge adventure",19.99,"knowledge adventure 20033 jumpstart reading with karaoke",2,2,0.93702585194575
"481","b000i84dts","jumpstart world 1st grade","welcome to jumpstart world 1st grade a series of 12 adventure packs or learning units that actually progresses in response to your child's own learning pace. it's super-personalized wildly imaginative and really fun but don't let that fool you--it also teaches critical skills correlated to state standards so kids get a real jumpstart in life. the world changes with the seasons and holidays over 80 learning games and missions unique 3d design and immersive play the smart fun way to achieve 1st grade success your child will make new friends visit the learning arcades art and music studio and complete fun missions to earn their first two leadership keys. stay connected as part of your jumpstart world experience we've designed a parents corner where you can get additional tips and ideas to help your child enjoy learning even more. get educational tips and creative ideas from our monthly gurus and experts. search hundreds of parent tips to help turn everyday moments into learning opportunitites. get instant access to tips and activities that reinforce your child's learning. reward your child studies show that children learn better when parents are involved. the super gem reward store allows you to reward your child's performance with customized certificates. delight your child with rewards that only you can create. create rewards that your child can redeem: a trip to the park going out for ice cream going ice skating and many more. use our simple tool to create your own rewards to honor your child's learning achievements. get your first 2 adventure packs today: over 80 learning games and missions that teach more than 40 skills subscribe to keep the adventure going: get a new adventure pack automatically downloaded to your computer for just $7.99 each. based on your child's progress--at least one each month. 12 total adventure packs per grade. each adventure pack includes: for kids: over 40 learning games and missions over 20 skills new areas of the world to discover one new badge to earn for parents: progress report e-mails and parent tips access to the member's website and online access to educational experts access to the super gems reward center see what your child can learn in jumpstart world at the heart of the jumpstart world is the learning curriculum containing hundreds of lessons around key skills to help your child advance progressively. take a tour of the specially designed 3d world new studies show that children who learn in rich media environments retain knowledge longer. jumpstart world surrounds your child in a 3d world with learning and fun as it rewards and recognizes each achievement along the way. key features of jumpstart world: children pick a character and explore a world full of exciting places. unique 3d design and immersive play make kids feel like they're inside a world of adventure and learning. challenging missions teach math reading spelling vocabulary science art and more. kids can import photos to decorate their world. they can create billboards cards and special pictures. new lands and new challenges open up according to your child's progress. includes sing-along music videos in the art and music studio that teach phonics the karaoke way. kids earn super gems at the math and reading arcades. they can then trade in their gems for special rewards. kids earn keys on their way to becoming the ultimate jumpscout leader. the world changes with the seasons and holidays using a real-time calendar. parents receive personalized progress reports and activity tips. ages 5-7 years skills taught math: addition subtraction telling time fractions picture graphs reading: phonics consonants vowels sentences comprehension critical thinking: problem solving patterns attributes classification social skills: friendship knowledge dedication and much more! benefits empowers children to succeed builds confidence rewards achievements enhances social skills stimulates creativity engages parents research: the building blocks of jumpstart world research has shown that children's play can encourage and improve their ability to learn. jumpstart world keeps children motivated to play and to learn because jumpstart world recognizes each achievement along the way. the result is non-stop play and learning that will involve the entire family. children and technology white paper (.pdf - 84k) jumpstart world white paper (.pdf - 124k)","knowledge adventure",19.99,"knowledge adventure 20033 jumpstart reading with karaoke",2,2,0.93702585194575
"602","b00001xdw7","jumpstart kindergarten","jumpstart kindergarten is designed to stimulate excite and inform children entering school for the first time. mr. hopsalot a cartoon bunny helps students ages 4 to 6 learn how to tell time identify upper- and lowercase letters sort objects understand prepositions and more. as with all jumpstart programs jumpstart kindergarten adapts content and presentation to a child's level of achievement and provides plenty of feedback and encouragement.","knowledge adventure",19.99,"knowledge adventure 20033 jumpstart reading with karaoke",2,2,0.93702585194575
"1295","b000v7vz2e","jumpstart 4th-6th grade v 2.0 b43","","knowledge adventure",19.99,"knowledge adventure 20033 jumpstart reading with karaoke",2,2,0.93702585194575
"1327","b000i84dum","jumpstart world 2nd grade","welcome to jumpstart world 2nd grade a series of 12 adventure packs or learning units that actually progresses in response to your child's own learning pace. it's super-personalized wildly imaginative and really fun but don't let that fool you--it also teaches critical skills correlated to state standards so kids get a real jumpstart in life. new areas of the world to discover over 90 learning games and missions kids can import photos to decorate their world the smart fun way to achieve 2nd grade success calling all heroes...jumpstart world needs your child! a mysterious villain called color meister has removed the color from camp jumpstart! to bring the color back your child earns the shield of training and shield of challenge by playing learning games and completing the color meister's challenges. your child will make new friends and visit new places all on the way to becoming a true hero. stay connected as part of your jumpstart world experience we've designed a parents corner where you can get additional tips and ideas to help your child enjoy learning even more. get educational tips and creative ideas from our monthly gurus and experts. search hundreds of parent tips to help turn everyday moments into learning opportunitites. get instant access to tips and activities that reinforce your child's learning. reward your child studies show that children learn better when parents are involved. the super gem reward store allows you to reward your child's performance with customized certificates. delight your child with rewards that only you can create. create rewards that your child can redeem: a trip to the park going out for ice cream going ice skating and many more. use our simple tool to create your own rewards to honor your child's learning achievements. get your first 2 adventure packs today: over 90 learning games and missions that teach more than 50 skills subscribe to keep the adventure going: get a new adventure pack automatically downloaded to your computer for just $7.99 each. based on your child's progress--at least one each month. 12 total adventure packs per grade. each adventure pack includes: for kids: over 45 learning games and missions over 25 skills new areas of the world to discover one new badge to earn for parents: progress report e-mails and parent tips access to the member's website and online access to educational experts access to the super gems reward center see what your child can learn in jumpstart world at the heart of the jumpstart world is the learning curriculum containing hundreds of lessons around key skills to help your child advance progressively. take a tour of the specially designed 3d world new studies show that children who learn in rich media environments retain knowledge longer. jumpstart world surrounds your child in a 3d world with learning and fun as it rewards and recognizes each achievement along the way. key features of jumpstart world: children pick a character and explore a world full of exciting places. unique 3d design and immersive play make kids feel like they're inside a world of adventure and learning. challenging missions teach math reading spelling vocabulary science art and more. kids can import photos to decorate their world. they can create billboards cards and special pictures. new lands and new challenges open up according to your child's progress. kids visit the science lab where they can watch cool movies from jpl (nasa). play fun games with jumpstart characters like treasure hunting with pierre. complete color meister's puzzles and challenges to bring the color back to jumpstart world. kids earn super gems at the math and reading arcades. they can then trade in their gems for special rewards. kids earn shields on their way to becoming a true hero. the world changes with the seasons and holidays using a real-time calendar. parents receive personalized progress reports and activity tips. ages 6-8 years skills taught math: addition subtraction money fractions tally charts time reading: parts of speech comprehension antonyms word building critical thinking: problem solving patterns attributes classification social skills: preparations perseverance cooperation and much more! benefits empowers children to succeed builds confidence rewards achievements enhances social skills stimulates creativity engages parents research: the building blocks of jumpstart world research has shown that children's play can encourage and improve their ability to learn. jumpstart world keeps children motivated to play and to learn because jumpstart world recognizes each achievement along the way. the result is non-stop play and learning that will involve the entire family. children and technology white paper (.pdf - 84k) jumpstart world white paper (.pdf - 124k)","knowledge adventure",19.99,"knowledge adventure 20033 jumpstart reading with karaoke",2,2,0.93702585194575
"1346","b000exu99k","jumpstart advanced preschool v2.0","jumpstart advanced preschool is the complete get ready for school program. now including jumpstart toddlers it delivers more fun and engaging activities than ever in this 4-cd set. students learn: patterns upper case letters lower case letters number recognition spatial awareness counting quantities colors shapes sizes","knowledge adventure",19.99,"knowledge adventure 20033 jumpstart reading with karaoke",2,2,0.93702585194575
"87","b000162zq0","emedia bass method win/mac","emedia bass method os x (win 95 98 me nt 2000 xp/mac 7.1-9.x(classic) x)","emedia",59.99,"emedia eg04025 intermediate guitar method - complete package",2,1,0.863821391991082
"79","b000162zp6","emedia intermediate guitar method os x","learn to play lead guitar and more! everything you need to take your playing beyond basic chords and melodies. new techniques are demonstrated in over 175 lessons with full-motion video variable-speed midi recorded audio and an animated fretboard. you'll learn to play solos like the ones eric clapton and jimi hendrix made famous using newly acquired lead guitar skills. you'll also find rhythm and fingerstyle chapters plus lessons on the basics of improvisation. the new scale directory provides fingerings recordings and variable-speed midi for over 200 scales. additional accessories include an automatic tuner digital metronome recorder and 1000-chord dictionary with audio playback.","emedia",59.99,"emedia eg03014 bass method os x",2,1,0.863821391991082
"623","b0000696oh","emedia intermediate guitar method win/mac","emedia intermediate guitar method is an easy way to take your guitar playing beyond basic chords and melodies. new techniques are demonstrated in over 175 lessons with full-motion video sound and an animated fretboard. you'll learn to play solos like the ones eric clapton and jimi hendrix made famous using newly acquired skills such as hammer-ons pull-offs bends vibrato and slides. barre chords and different strumming styles are covered in the rhythm chapters and there's a fingerstyle chapter as well. you can choose to learn using either tablature or standard music notation. intervals scales and the basics of improvisation are also covered in this comprehensive volume. emedia intermediate guitar method includes an animated fretboard that displays the fingering for each song and exercise in real time and is adjustable to four different viewing angles. included are over 50 songs recorded in multitrack audio which makes learning and listening to hit songs exciting. also available is a variable-speed midi track option allowing students to practice any song or exercise at the tempo they choose. the new scale directory provides fingerings recordings and variable-speed midi for over 200 scales making practicing and learning new scales easy. additional features include a built-in automatic tuner digital metronome recorder and 1 000-chord dictionary with audio playback. intermediate guitar method features many hit songs by artists such as eric clapton jimi hendrix the steve miller band johnny cash and jim croce.","emedia",59.99,"emedia eg03014 bass method os x",2,1,0.863821391991082
"1251","b0000c4m1w","emedia piano and keyboard method volume 1","piano and keyboard method is a powerful and original new approach to building music skills! interactive lessons and multimedia exercises combine for a clear and easy-to-use learning method!","emedia",59.99,"emedia eg03014 bass method os x",2,1,0.863821391991082
"1307","b000gamysk","emedia guitarpro 5 win/mac","emedia's guitar pro 5.1 is the most powerful and intuitive tablature editor on the market. this multitrack tablature editor/player for guitar banjo and bass. the advanced notation features add drum notation vocal notation and tablature support for any stringed instruments with four to seven strings! you can create complete scores for a band in minutes. improved ascii import/export and the newly enhanced speed trainer will show you why emedia guitar pro 5.1 is the dominant force in guitar music on the web. use the chord generator as a reference or to easily add chord diagrams to the score create a chord diagram by clicking on the grid -- emedia guitar pro 5 will give you all the corresponding names","emedia",59.99,"emedia eg03014 bass method os x",2,1,0.863821391991082
"1256","b0009eu0ca","sony acid pro 5","acid pro 5 puts total composition and editing power in the hands of the producer. it's the first loop-based music creation application for almost any level of musical expertise. it's got all the features you need to produce truly professional results. includes more than 1 000 loops from the sony sound series - loops & samples collection plus the native instrument xpress keyboards vsti soft synth bundle","sony",399.95,"sony playstation gretzky nhl 2006 psp - 98627",2,1,0.863821391991082
"654","b000piht7e","3d home architect home design deluxe version 9","3d home architect home design deluxe version 9 is the ultimate high quality home design tool that will assist you transforming the idea of your dream home in a reality--all at a value price. taking home design to the next level home design deluxe offers a wide variety of features that utilize the latest design techniques and technologies. take a 3d walk-through of your design design any room to your specifications drag-and-drop textures colors and objects into any room design your dream home with ease & accuracy whether you're designing the home of your dreams decorating a bathroom or just updating your kitchen the new intuitive interface provides you with tools to plan visualize and execute your design ideas. you also have the option of looking through ready-made home plans and rooms. product features create a structural frame for your home use the framing tool. use the roofing tool to decide on roofing styles and materials. view various remodeling options using the wide variety of material templates. browse through the large library of appliances and choose the one that's right for you. additional helpful capabilities choose from a wide variety of viewing options as you design your home. this dvd based design solution is powered by punch! software--the leader in high-end home design software. home designer v.9 is windows/mac compatible. the possibilities are endless with this all-in-one home design solution. interior design & decor design any room in your home to your exact specifications. choose from thousands of furnishings textures and color combinations. your design options are endless! 3d home tour when your home design is complete take a 3d walk-through tour of the inside or a 3d fly-around tour of the outside. doors & windows customize the size of each window and door using the design tools.","encore",29.99,"encore 28008 cold zero",2,1,0.863821391991082
"1014","b0000990y7","marine aquarium 2.0 (pc & mac)","view marine life so vibrant you won't believe your eyes! gorgeous details have gone into creating the high-resolution fish models and reef tank for an indescribably realistic effect. achieve serenity from an exquisite marine habitat without the expense or maintenance of the real thing. so peaceful. so mesmerizing. with 26 exotic species of fish it's like having your very own aquatic paradise through your pc or mac.","encore",29.99,"encore 28008 cold zero",2,1,0.863821391991082
